Symbol,Name,Date,Open,High,Low,Close,Adj Close,Volume
META,"Meta Platforms, Inc.",22/08/2022,165.490005,165.490005,162.259995,163.050003,163.050003,19499700
META,"Meta Platforms, Inc.",23/08/2022,162.479996,165.050003,160.699997,161.110001,161.110001,18111800
META,"Meta Platforms, Inc.",24/08/2022,160.600006,165.460007,159.770004,163.259995,163.259995,20891500
META,"Meta Platforms, Inc.",25/08/2022,165.179993,168.880005,164.020004,168.779999,168.779999,15550500
META,"Meta Platforms, Inc.",26/08/2022,168.479996,170.919998,161.669998,161.779999,161.779999,24023600
META,"Meta Platforms, Inc.",29/08/2022,160.660004,163.050003,159.009995,159.169998,159.169998,20052700
META,"Meta Platforms, Inc.",30/08/2022,160.350006,161.660004,155.910004,157.160004,157.160004,19567900
META,"Meta Platforms, Inc.",31/08/2022,167.070007,167.839996,162.139999,162.929993,162.929993,40953000
META,"Meta Platforms, Inc.",01/09/2022,163.580002,167.360001,160.350006,165.360001,165.360001,30145700
META,"Meta Platforms, Inc.",02/09/2022,167.449997,167.929993,159.220001,160.320007,160.320007,22634200
META,"Meta Platforms, Inc.",06/09/2022,160.100006,161.690002,157.690002,158.539993,158.539993,19339800
META,"Meta Platforms, Inc.",07/09/2022,157.759995,160.960007,156.809998,160.389999,160.389999,16831200
META,"Meta Platforms, Inc.",08/09/2022,158.710007,162.229996,157.740005,162.059998,162.059998,22530800
META,"Meta Platforms, Inc.",09/09/2022,163.25,169.539993,163.020004,169.149994,169.149994,22086800
META,"Meta Platforms, Inc.",12/09/2022,167.389999,171.389999,167.279999,168.960007,168.960007,23220400
META,"Meta Platforms, Inc.",13/09/2022,161.539993,161.630005,152.669998,153.130005,153.130005,44444100
META,"Meta Platforms, Inc.",14/09/2022,153.330002,153.539993,149.050003,151.470001,151.470001,43064200
META,"Meta Platforms, Inc.",15/09/2022,149.800003,154.199997,148.699997,149.550003,149.550003,34606300
META,"Meta Platforms, Inc.",16/09/2022,148.050003,148.580002,144.289993,146.289993,146.289993,40122800
META,"Meta Platforms, Inc.",19/09/2022,145.240005,148.580002,145.100006,148.020004,148.020004,22169500
META,"Meta Platforms, Inc.",20/09/2022,145.779999,148.839996,145.220001,146.089996,146.089996,23217400
META,"Meta Platforms, Inc.",21/09/2022,146.389999,149.600006,142,142.119995,142.119995,38338600
